entry_datetime,exit_datetime,entry_price,exit_price,volume,pnl,return_pct
2019-01-21 00:00:00+08:00,2019-02-13 00:00:00+08:00,528.5,621.0,1.0,9138.505,0.1750236518448439
2019-03-08 00:00:00+08:00,2019-03-11 00:00:00+08:00,624.0,604.0,1.0,-2112.2799999999997,-0.03205128205128205
2019-03-15 00:00:00+08:00,2019-03-20 00:00:00+08:00,626.0,610.0,1.0,-1712.36,-0.025559105431309903
2019-05-16 00:00:00+08:00,2019-05-29 00:00:00+08:00,660.0,732.0,1.0,7086.08,0.10909090909090909
2019-06-11 00:00:00+08:00,2019-06-26 00:00:00+08:00,730.0,786.0,1.0,5484.84,0.07671232876712329
2019-07-16 00:00:00+08:00,2019-07-23 00:00:00+08:00,902.5,757.5,1.0,-14616.6,-0.16066481994459833
2020-01-15 00:00:00+08:00,2020-01-16 00:00:00+08:00,671.0,659.0,1.0,-1313.3,-0.01788375558867362
2020-03-18 00:00:00+08:00,2020-03-19 00:00:00+08:00,670.0,648.0,1.0,-2313.18,-0.03283582089552239
2020-06-01 00:00:00+08:00,2020-06-12 00:00:00+08:00,746.0,746.5,1.0,-64.925,0.0006702412868632708
2020-06-29 00:00:00+08:00,2020-06-30 00:00:00+08:00,765.0,738.0,1.0,-2815.03,-0.03529411764705882
2020-07-22 00:00:00+08:00,2020-07-24 00:00:00+08:00,842.0,819.0,1.0,-2416.61,-0.027315914489311165
2020-08-04 00:00:00+08:00,2020-08-11 00:00:00+08:00,877.5,824.5,1.0,-5417.02,-0.0603988603988604
2020-11-27 00:00:00+08:00,2020-12-08 00:00:00+08:00,902.5,918.0,1.0,1431.795,0.017174515235457065
2020-12-16 00:00:00+08:00,2020-12-23 00:00:00+08:00,996.0,1061.5,1.0,6429.425,0.06576305220883534
2021-01-04 00:00:00+08:00,2021-01-28 00:00:00+08:00,990.0,1008.5,1.0,1730.015,0.018686868686868686
2021-03-03 00:00:00+08:00,2021-03-09 00:00:00+08:00,1153.0,1107.5,1.0,-4672.605,-0.03946227233304423
2021-05-07 00:00:00+08:00,2021-05-13 00:00:00+08:00,1184.0,1245.5,1.0,6025.705,0.051942567567567564
2021-07-06 00:00:00+08:00,2021-07-09 00:00:00+08:00,1228.0,1174.5,1.0,-5474.025,-0.04356677524429967
2022-01-24 00:00:00+08:00,2022-02-09 00:00:00+08:00,757.0,788.0,1.0,2984.55,0.04095112285336856
2022-03-17 00:00:00+08:00,2022-04-11 00:00:00+08:00,812.0,871.5,1.0,5833.165,0.07327586206896551
2022-12-05 00:00:00+08:00,2022-12-07 00:00:00+08:00,790.5,764.0,1.0,-2765.545,-0.033523086654016446
2022-12-16 00:00:00+08:00,2022-12-19 00:00:00+08:00,830.5,806.0,1.0,-2566.365,-0.029500301023479832
2023-01-03 00:00:00+08:00,2023-01-05 00:00:00+08:00,857.0,839.5,1.0,-1866.965,-0.020420070011668612
2023-01-11 00:00:00+08:00,2023-01-16 00:00:00+08:00,842.0,839.0,1.0,-416.81,-0.0035629453681710215
2023-03-14 00:00:00+08:00,2023-03-16 00:00:00+08:00,920.0,911.0,1.0,-1018.31,-0.009782608695652175
2023-07-06 00:00:00+08:00,2023-07-07 00:00:00+08:00,828.0,814.0,1.0,-1516.42,-0.016908212560386472
2023-07-19 00:00:00+08:00,2023-07-28 00:00:00+08:00,840.5,838.0,1.0,-366.785,-0.00297441998810232
2023-09-12 00:00:00+08:00,2023-09-25 00:00:00+08:00,853.5,842.0,1.0,-1266.955,-0.013473930872876391
2023-10-25 00:00:00+08:00,2023-11-16 00:00:00+08:00,867.0,956.5,1.0,8831.765,0.10322952710495963
2023-12-08 00:00:00+08:00,2023-12-18 00:00:00+08:00,950.5,924.5,1.0,-2718.75,-0.027354024197790636
2024-01-02 00:00:00+08:00,2024-01-10 00:00:00+08:00,972.5,981.0,1.0,730.465,0.008740359897172237
2024-02-02 00:00:00+08:00,2024-02-05 00:00:00+08:00,968.5,941.0,1.0,-2869.095,-0.02839442436757873
2024-11-08 00:00:00+08:00,2024-11-11 00:00:00+08:00,799.0,772.0,1.0,-2815.71,-0.03379224030037547
