signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,selected_params,selection_train_auc,selection_valid_auc,selection_auc_gap,split_start,split_end,split_sample_count,split_executed_count,split_non_executed_count,feature_count,feature_null_ratio_mean,feature_null_ratio_max,feature_null_feature_count,feature_all_null_count,label_ic_abs_mean,label_ic_abs_top,label_ic_top_feature,regime_ic_abs_mean,regime_ic_abs_top,regime_ic_top_feature,return_ic_abs_mean,return_ic_abs_top,return_ic_top_feature,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,direction_auc,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
breakout_pullback_continuation,0,train,regime_classifier,random_forest,3748,4503,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2010-01-13 11:00:00,2022-12-30 11:00:00,8251,3748,4503,438,0.874047368825918,0.9895770209671555,415,0,0.058356333123320475,0.3131134386010912,generic_vol_zscore_20,0.3681554454203437,0.9768675212864516,generic_supertrend_dir,0.06832007757573949,0.2894883348006215,feature_breakout_score,1.0,1.0,,,,1.0,1.0,,,,,,,
breakout_pullback_continuation,0,train,mfe_mae,random_forest,3748,4503,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6420496293909121,0.5888454591038428,0.05320417028706936,2010-01-13 11:00:00,2022-12-30 11:00:00,8251,3748,4503,438,0.874047368825918,0.9895770209671555,415,0,0.058356333123320475,0.3131134386010912,generic_vol_zscore_20,0.3681554454203437,0.9768675212864516,generic_supertrend_dir,0.06832007757573949,0.2894883348006215,feature_breakout_score,,,,,,,,0.6420496293909121,1.7528376677321669,0.6548725569543532,2.4823894309203163,0.8762107428290712,0.07086938741834858,0.05677128081844007
breakout_pullback_continuation,0,valid,trade_filter,hist_gradient_boosting,3748,4503,"{""l2_regularization"": 1.5, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 25}",0.741243111331608,0.723243723727127,0.017999387604481054,2023-01-03 11:00:00,2024-12-30 23:00:00,1880,970,910,438,0.8933571359176139,0.9989361702127659,415,0,0.12351004257759898,0.3954685996996435,generic_vol_ma_5,0.36717288153976624,0.9486012316654877,generic_supertrend_dir,0.2151408182080316,0.5662185856224431,generic_plus_di,0.723243723727127,0.6473404255319148,0.5419103313840156,0.7423230974632844,0.6264788732394366,,,,,,,,,
breakout_pullback_continuation,0,valid,regime_classifier,random_forest,3748,4503,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2023-01-03 11:00:00,2024-12-30 23:00:00,1880,970,910,438,0.8933571359176139,0.9989361702127659,415,0,0.12351004257759898,0.3954685996996435,generic_vol_ma_5,0.36717288153976624,0.9486012316654877,generic_supertrend_dir,0.2151408182080316,0.5662185856224431,generic_plus_di,1.0,1.0,,,,1.0,1.0,,,,,,,
breakout_pullback_continuation,0,valid,mfe_mae,random_forest,3748,4503,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6420496293909121,0.5888454591038428,0.05320417028706936,2023-01-03 11:00:00,2024-12-30 23:00:00,1880,970,910,438,0.8933571359176139,0.9989361702127659,415,0,0.12351004257759898,0.3954685996996435,generic_vol_ma_5,0.36717288153976624,0.9486012316654877,generic_supertrend_dir,0.2151408182080316,0.5662185856224431,generic_plus_di,,,,,,,,0.5888454591038428,1.7904681100432203,0.6914991273277166,2.696932258328411,0.8944360557408408,-0.004836690681123246,0.031227372661416286
breakout_pullback_continuation,0,test,trade_filter,hist_gradient_boosting,3748,4503,"{""l2_regularization"": 1.5, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 25}",0.741243111331608,0.723243723727127,0.017999387604481054,2024-12-31 14:00:00,2025-12-30 22:00:00,779,372,407,438,0.8906337008575563,0.9974326059050064,415,0,0.13383978749669054,0.6837385331582878,generic_pa_bo_vol_ratio_20,0.3943266110289968,1.0,generic_supertrend_dir,0.1601347225265683,0.7025691699604744,generic_pa_trading_range_20,0.7093433949417722,0.6585365853658537,0.5253807106598984,0.7237762237762237,0.6088235294117647,,,,,,,,,
breakout_pullback_continuation,0,test,regime_classifier,random_forest,3748,4503,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2024-12-31 14:00:00,2025-12-30 22:00:00,779,372,407,438,0.8906337008575563,0.9974326059050064,415,0,0.13383978749669054,0.6837385331582878,generic_pa_bo_vol_ratio_20,0.3943266110289968,1.0,generic_supertrend_dir,0.1601347225265683,0.7025691699604744,generic_pa_trading_range_20,1.0,1.0,,,,1.0,1.0,,,,,,,
breakout_pullback_continuation,0,test,mfe_mae,random_forest,3748,4503,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.6420496293909121,0.5888454591038428,0.05320417028706936,2024-12-31 14:00:00,2025-12-30 22:00:00,779,372,407,438,0.8906337008575563,0.9974326059050064,415,0,0.13383978749669054,0.6837385331582878,generic_pa_bo_vol_ratio_20,0.3943266110289968,1.0,generic_supertrend_dir,0.1601347225265683,0.7025691699604744,generic_pa_trading_range_20,,,,,,,,0.6056675882257276,1.7360640795510651,0.71723295376403,2.5302351599547803,0.9497063633748792,-0.007583099083766198,0.009146331439325417
donchian_breakout,0,train,trade_filter,hist_gradient_boosting,10007,10577,"{""l2_regularization"": 2.0, ""learning_rate"": 0.02, ""max_depth"": 2, ""max_iter"": 240, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",0.6136409883123247,0.5724187777257764,0.04122221058654829,2010-01-13 10:00:00,2022-12-30 15:00:00,20584,10007,10577,438,0.883536243959488,0.981441896618733,417,0,0.041885532920517346,0.19836667571049926,generic_pa_scalp_score,0.36858110863239657,0.9186519702835669,generic_is_10d_low,0.049638325774555694,0.16785143650282097,generic_pa_trail_stop,0.6136409883123247,0.5780217644772639,0.3199143468950749,0.5614430665163472,0.4075842313463375,,,,,,,,,
donchian_breakout,0,train,regime_classifier,random_forest,10007,10577,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2010-01-13 10:00:00,2022-12-30 15:00:00,20584,10007,10577,438,0.883536243959488,0.981441896618733,417,0,0.041885532920517346,0.19836667571049926,generic_pa_scalp_score,0.36858110863239657,0.9186519702835669,generic_is_10d_low,0.049638325774555694,0.16785143650282097,generic_pa_trail_stop,1.0,1.0,,,,1.0,1.0,,,,,,,
