window_id,pred_split,decile,sample_count,score_min,score_max,score_mean,avg_return_atr,median_return_atr,total_return_atr,win_rate,executed_rate,executed_avg_return_atr
0,test,1,707,0.040699468402077894,0.3098420783525052,0.2268290788536303,1.171546457665961,0.8289753024108633,828.2833455698345,0.5926449787835927,1.0,1.171546457665961
0,test,2,707,0.3100202677794191,0.37931774583145933,0.34749143025321005,0.7689420005043609,0.36750329838637086,543.6419943565832,0.536067892503536,1.0,0.7689420005043609
0,test,3,707,0.3795082210191939,0.4290312545318019,0.40478538327445446,0.7174919750325964,0.5751486803022948,507.26682634804564,0.5572842998585573,1.0,0.7174919750325964
0,test,4,707,0.42905515801028593,0.4757346063266805,0.45167077601615896,0.6425364240265036,0.3974999060596416,454.27325178673806,0.553041018387553,1.0,0.6425364240265036
0,test,5,707,0.47575865211197366,0.5216911258775819,0.4988659695210237,0.8520549925457499,0.40530965332497404,602.4028797298452,0.5445544554455446,1.0,0.8520549925457499
0,test,6,706,0.5217365450752064,0.5677774796450796,0.5447244479346575,1.406353819475938,1.1581101973177936,992.8857965500122,0.6416430594900849,1.0,1.406353819475938
0,test,7,707,0.5677777431444992,0.6111077968770773,0.5898354604313342,1.154538569917838,1.1026813088661314,816.2587689319115,0.6138613861386139,1.0,1.154538569917838
0,test,8,707,0.6111237180177775,0.6555883154636144,0.6319450964511293,1.2601120723027315,0.9834871048026734,890.8992351180311,0.6152758132956153,1.0,1.2601120723027315
0,test,9,707,0.6555955582797899,0.7090669412325161,0.6805467757464028,1.5003732090988795,1.2682626755025512,1060.7638588329078,0.6605374823196606,1.0,1.5003732090988795
0,test,10,707,0.7090712970808841,0.9301314123850611,0.7756689920664241,1.9849216365114186,1.6899006236919607,1403.339597013573,0.7326732673267327,1.0,1.9849216365114186
