signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
breakout_pullback_continuation,0,regime_classifier,random_forest,5,feature_open_interest,0.001170771680042165,信号时点持仓量
breakout_pullback_continuation,0,regime_classifier,random_forest,6,feature_don_upper_entry,0.0008322746709073853,Donchian 上轨入场价
breakout_pullback_continuation,0,regime_classifier,random_forest,7,feature_turnover,0.0008101646769138333,信号时点成交额
breakout_pullback_continuation,0,regime_classifier,random_forest,8,feature_volume,0.0007843962146624562,信号时点成交量
breakout_pullback_continuation,0,regime_classifier,random_forest,9,feature_close,0.0006731252003842858,信号时点收盘价
breakout_pullback_continuation,0,regime_classifier,random_forest,10,feature_low,0.0006466611176477159,信号时点最低价
breakout_pullback_continuation,0,mfe_mae,random_forest,1,feature_tr_range_atr,0.16887649879950917,tight range / ATR 比值
breakout_pullback_continuation,0,mfe_mae,random_forest,2,feature_volume,0.11141569223369284,信号时点成交量
breakout_pullback_continuation,0,mfe_mae,random_forest,3,feature_turnover,0.0680880989164298,信号时点成交额
breakout_pullback_continuation,0,mfe_mae,random_forest,4,feature_trend_score,0.05103987118359709,趋势强弱分数
breakout_pullback_continuation,0,mfe_mae,random_forest,5,feature_bp_bars_since_breakout,0.046361041298501104,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,mfe_mae,random_forest,6,feature_close,0.0416708084716171,信号时点收盘价
breakout_pullback_continuation,0,mfe_mae,random_forest,7,feature_low,0.03913631896113129,信号时点最低价
breakout_pullback_continuation,0,mfe_mae,random_forest,8,feature_atr14,0.03095201184388685,14周期 ATR 波动率
breakout_pullback_continuation,0,mfe_mae,random_forest,9,feature_open_interest,0.026485641594335946,信号时点持仓量
breakout_pullback_continuation,0,mfe_mae,random_forest,10,feature_bp_breakout_level,0.02561082582638917,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,1,generic_pa_dist_swing_low,0.028313409563409553,距最近 Swing Low
donchian_breakout,0,trade_filter,hist_gradient_boosting,2,feature_volume,0.017696855509355475,信号时点成交量
donchian_breakout,0,trade_filter,hist_gradient_boosting,3,feature_open_interest,0.014458593208593181,信号时点持仓量
donchian_breakout,0,trade_filter,hist_gradient_boosting,4,generic_pa_swing_high_idx,0.00781011781011783,最近 swing high 索引
donchian_breakout,0,trade_filter,hist_gradient_boosting,5,generic_price_pos_10,0.0035124306999307167,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,6,feature_atr14,0.003462837837837851,14周期 ATR 波动率
donchian_breakout,0,trade_filter,hist_gradient_boosting,7,generic_pa_range_over_atr_10,0.0030641458766458665,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,8,feature_bp_confirmed,0.0027590090090090134,突破回踩确认标记
donchian_breakout,0,trade_filter,hist_gradient_boosting,9,feature_don_lower_exit,0.0027124480249480407,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,10,generic_pa_swing_low_idx,0.0019473319473319872,最近 swing low 索引
donchian_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.8016147151942952,趋势强弱分数
donchian_breakout,0,regime_classifier,random_forest,2,feature_trend_dir,0.17854339412994677,趋势方向编码
donchian_breakout,0,regime_classifier,random_forest,3,feature_tr_range_atr,0.012905551531427736,tight range / ATR 比值
donchian_breakout,0,regime_classifier,random_forest,4,feature_turnover,0.000999488018919694,信号时点成交额
donchian_breakout,0,regime_classifier,random_forest,5,generic_days_since_20d_low,0.0007845044484792981,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,regime_classifier,random_forest,6,generic_tsi,0.0005930284523769879,真实强度指数
donchian_breakout,0,regime_classifier,random_forest,7,generic_rsi_24,0.000316030900637543,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,regime_classifier,random_forest,8,feature_open_interest,0.00027466089203694597,信号时点持仓量
donchian_breakout,0,regime_classifier,random_forest,9,feature_breakout_score,0.0002685753004088293,突破质量分数
donchian_breakout,0,regime_classifier,random_forest,10,generic_pa_ema_slope_20,0.000268300623240921,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,mfe_mae,random_forest,1,feature_bp_confirmed,0.1698130763497381,突破回踩确认标记
donchian_breakout,0,mfe_mae,random_forest,2,feature_trend_score,0.10907102516361868,趋势强弱分数
donchian_breakout,0,mfe_mae,random_forest,3,feature_bp_breakout_level,0.09326230881692466,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,mfe_mae,random_forest,4,feature_open_interest,0.05780523096167536,信号时点持仓量
donchian_breakout,0,mfe_mae,random_forest,5,feature_don_atr20,0.04043469376051668,Donchian 宽度/ATR20
donchian_breakout,0,mfe_mae,random_forest,6,feature_atr_value,0.03659278810955814,未在 FEATURES.md 登记（自定义/衍生特征）
