datetime,symbol,exchange,vt_symbol,close,position,setup_type,entry_price,stop_price,highest_since_entry,realized_pnl,unrealized_pnl,equity,month_return,month_return_pct,month_stop_trading,daily_return,daily_return_pct
2014-04-14,A0,DCE,A0.DCE,4358.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-15,A0,DCE,A0.DCE,4365.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-16,A0,DCE,A0.DCE,4339.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-17,A0,DCE,A0.DCE,4343.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-18,A0,DCE,A0.DCE,4396.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-21,A0,DCE,A0.DCE,4351.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-22,A0,DCE,A0.DCE,4363.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-23,A0,DCE,A0.DCE,4358.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-24,A0,DCE,A0.DCE,4391.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-25,A0,DCE,A0.DCE,4445.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-28,A0,DCE,A0.DCE,4471.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-29,A0,DCE,A0.DCE,4499.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-04-30,A0,DCE,A0.DCE,4485.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-01,A0,DCE,A0.DCE,4473.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-05,A0,DCE,A0.DCE,4472.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-06,A0,DCE,A0.DCE,4377.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
2014-05-07,A0,DCE,A0.DCE,4359.0,0,,,,,0.0,0.0,1000000.0,0.0,0.00%,0,0.0,0.00%
