symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
PK0,CZCE,PK0.CZCE,NORMAL_SETUP,2022-05-12,2022-05-13,9806.0,9810.0,12,117672.0,117720.0,48.0,0.0004079135223332653,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,9609.3,9609.3,9916.0,196.7,2500.0,0.02,0.04%
PK0,CZCE,PK0.CZCE,GOOD_SETUP,2022-05-25,2022-05-26,10760.0,10710.0,18,193680.0,192780.0,-900.0,-0.004646840148698885,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,10484.27,10484.27,10818.0,275.73,5000.24,-0.18,-0.46%
PK0,CZCE,PK0.CZCE,NORMAL_SETUP,2022-09-22,2022-09-27,10762.0,10786.0,16,172192.0,172576.0,384.0,0.002230068760453447,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,10609.23,10762.0,11156.0,152.77,2497.87,0.16,0.22%
PK0,CZCE,PK0.CZCE,NORMAL_SETUP,2022-10-11,2022-10-14,11200.0,11202.0,10,112000.0,112020.0,20.0,0.00017857142857142857,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,10964.34,10964.34,11256.0,235.66,2498.83,0.01,0.02%
PK0,CZCE,PK0.CZCE,NORMAL_SETUP,2023-02-17,2023-02-21,11100.0,11210.0,17,188700.0,190570.0,1870.0,0.00990990990990991,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,10953.41,11100.0,11252.0,146.59,2498.88,0.75,0.99%
