entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
15191,15206,long,1,3642.0,3667.0,25.0,27.308999999999997,-2.3089999999999975
15257,15272,long,1,3674.0,3701.0,27.0,27.375,-0.375
15387,15400,long,1,3726.0,3723.0,-3.0,27.448999999999998,-30.448999999999998
15425,15439,long,1,3809.0,3804.0,-5.0,27.613,-32.613
15488,15501,short,1,3872.0,3809.0,63.0,27.681,35.319
15623,15657,long,1,3857.0,3961.0,104.0,27.817999999999998,76.182
15740,15771,long,1,4043.0,4159.0,116.0,28.201999999999998,87.798
15843,15860,long,1,4316.0,4336.0,20.0,28.652,-8.652000000000001
15875,15881,short,1,4171.0,4292.0,-121.0,28.463,-149.463
16007,16025,long,1,4159.0,4265.0,106.0,28.424,77.576
16032,16050,short,1,4147.0,4057.0,90.0,28.204,61.796
16133,16149,short,1,3995.0,3971.0,24.0,27.966,-3.966000000000001
16428,16443,short,1,3756.0,3729.0,27.0,27.485,-0.48499999999999943
16478,16505,short,1,3239.0,3353.0,-114.0,26.592,-140.59199999999998
16628,16638,long,1,3504.0,3481.0,-23.0,26.985,-49.985
16649,16663,short,1,3426.0,3418.0,8.0,26.844,-18.844
16700,16722,long,1,3462.0,3487.0,25.0,26.948999999999998,-1.948999999999998
16761,16766,long,1,3574.0,3509.0,-65.0,27.083,-92.083
16790,16814,long,1,3581.0,3651.0,70.0,27.232,42.768
16836,16851,long,1,3701.0,3683.0,-18.0,27.384,-45.384
16854,16863,short,1,3658.0,3691.0,-33.0,27.349000000000004,-60.349000000000004
16865,16869,long,1,3750.0,3681.0,-69.0,27.431,-96.431
16892,16903,long,1,3859.0,3780.0,-79.0,27.639000000000003,-106.63900000000001
16910,16935,short,1,3728.0,3658.0,70.0,27.386000000000003,42.614
16955,16961,short,1,3581.0,3668.0,-87.0,27.249,-114.249
16973,16984,long,1,3730.0,3702.0,-28.0,27.432000000000002,-55.432
17022,17033,long,1,3812.0,3775.0,-37.0,27.587000000000003,-64.587
17083,17094,long,1,3813.0,3791.0,-22.0,27.604,-49.604
17163,17180,short,1,3721.0,3714.0,7.0,27.435000000000002,-20.435000000000002
17202,17207,long,1,3761.0,3488.0,-273.0,27.249,-300.249
17243,17270,long,1,3682.0,3756.0,74.0,27.438000000000002,46.562
17276,17277,long,1,3820.0,3754.0,-66.0,27.573999999999998,-93.574
17316,17328,short,1,3728.0,3738.0,-10.0,27.466,-37.466
17330,17344,long,1,3793.0,3772.0,-21.0,27.564999999999998,-48.565
17348,17360,short,1,3726.0,3756.0,-30.0,27.482,-57.482
17384,17396,long,1,3815.0,3766.0,-49.0,27.581000000000003,-76.581
17399,17405,short,1,3743.0,3795.0,-52.0,27.538,-79.538
17447,17461,short,1,3670.0,3682.0,-12.0,27.352,-39.352000000000004
17466,17513,long,1,3720.0,3886.0,166.0,27.606,138.394
17520,17526,short,1,3842.0,3888.0,-46.0,27.73,-73.73
17580,17588,short,1,3701.0,3732.0,-31.0,27.433,-58.433
17604,17607,short,1,3677.0,3734.0,-57.0,27.411,-84.411
17621,17634,long,1,3774.0,3776.0,2.0,27.55,-25.55
17657,17670,short,1,3716.0,3733.0,-17.0,27.449,-44.449
17673,17733,long,1,3777.0,4005.0,228.0,27.782,200.218
17747,17756,long,1,4126.0,4043.0,-83.0,28.169,-111.169
17834,17839,short,1,3936.0,3991.0,-55.0,27.927,-82.92699999999999
17868,17877,short,1,3971.0,4006.0,-35.0,27.977,-62.977000000000004
17879,17884,short,1,3935.0,3977.0,-42.0,27.912,-69.912
