month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2014-04,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-05,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-06,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-07,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-08,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-09,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-10,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-11,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2014-12,1000000.0,1000000.0,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-01,1000000.0,1008133.38,0.008133380000000079,0.81%,2,1,10658.25,-2524.87,4.2213,0.5,50.00%,ALL,AU0.SHFE
2015-02,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-03,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-04,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-05,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-06,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-07,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-08,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-09,1008133.38,1008133.38,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-10,1008133.38,1009396.98,0.0012534055761550533,0.13%,1,1,1263.6,0.0,inf,1.0,100.00%,ALL,AU0.SHFE
2015-11,1009396.98,1009396.98,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2015-12,1009396.98,1009396.98,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-01,1009396.98,1009396.98,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-02,1009396.98,1009396.98,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-03,1009396.98,1010776.28,0.0013664594082696269,0.14%,1,1,1379.3,0.0,inf,1.0,100.00%,ALL,AU0.SHFE
2016-04,1010776.28,1008251.34,-0.0024980206302427366,-0.25%,1,0,0.0,-2524.94,0.0,0.0,0.00%,ALL,AU0.SHFE
2016-05,1008251.34,1008251.34,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-06,1008251.34,1002212.71,-0.005989210983840643,-0.60%,1,0,0.0,-5039.04,0.0,0.0,0.00%,ALL,AU0.SHFE
2016-07,1004188.11,1001346.17,-0.002830087283148486,-0.28%,2,1,3165.4,-5031.53,0.6291,0.5,50.00%,ALL,AU0.SHFE
2016-08,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-09,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-10,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-11,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2016-12,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-01,1001346.17,1001346.17,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-02,1001346.17,1000109.17,-0.0012353370263552543,-0.12%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-03,997573.32,996342.95,-0.0012333629772697252,-0.12%,1,0,0.0,-5003.22,0.0,0.0,0.00%,ALL,AU0.SHFE
2017-04,996342.95,995748.2,-0.0005969330138784201,-0.06%,1,0,0.0,-594.75,0.0,0.0,0.00%,ALL,AU0.SHFE
2017-05,995748.2,995748.2,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-06,995748.2,995748.2,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-07,995748.2,995748.2,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-08,995748.2,993260.12,-0.002498703989623041,-0.25%,1,0,0.0,-2488.08,0.0,0.0,0.00%,ALL,AU0.SHFE
2017-09,993260.12,993260.12,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-10,993260.12,993260.12,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-11,993260.12,993260.12,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2017-12,993260.12,993260.12,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-01,993260.12,990777.29,-0.0024996775265677673,-0.25%,1,0,0.0,-2482.82,0.0,0.0,0.00%,ALL,AU0.SHFE
2018-02,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-03,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-04,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-05,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-06,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
2018-07,990777.29,990777.29,0.0,0.00%,0,0,0.0,0.0,,,,ALL,AU0.SHFE
