group_name,total_return,total_return_pct,gross_profit,gross_loss,net_profit,trade_count,win_count,win_rate,win_rate_pct,profit_factor
ALL,0.01661723999999999,1.66%,71797.32,-55180.08,16617.24,32,15,0.46875,46.88%,1.3011
GOOD_SETUP,0.01661723999999999,1.66%,65788.27,-39581.09,26207.18,20,11,0.55,55.00%,1.6621
NORMAL_SETUP,0.01661723999999999,1.66%,6009.05,-15598.99,-9589.94,12,4,0.3333333333333333,33.33%,0.3852
