date,equity
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,997256.2293465559
2023-01-09,997256.2293465559
2023-01-10,995716.2293465559
2023-01-11,997322.3174517035
2023-01-12,997322.3174517035
2023-01-13,995601.4414736483
2023-01-16,987621.4414736483
2023-01-17,995367.3497615508
2023-01-18,995343.3684391385
2023-01-19,995343.3684391385
2023-01-20,995343.3684391385
2023-01-30,995343.3684391385
2023-01-31,994110.7236450891
2023-02-01,997470.7236450891
2023-02-02,995091.7002150359
2023-02-03,995535.7739986719
2023-02-06,995535.7739986719
2023-02-07,995535.7739986719
2023-02-08,995535.7739986719
2023-02-09,995535.7739986719
2023-02-10,995535.7739986719
2023-02-13,995535.7739986719
2023-02-14,995535.7739986719
2023-02-15,995535.7739986719
2023-02-16,995535.7739986719
2023-02-17,995535.7739986719
2023-02-20,995535.7739986719
2023-02-21,995535.7739986719
2023-02-22,995535.7739986719
2023-02-23,995535.7739986719
2023-02-24,995535.7739986719
2023-02-27,994173.1398080041
2023-02-28,994048.0836864739
2023-03-01,994998.9026280103
2023-03-02,994998.9026280103
2023-03-03,994998.9026280103
2023-03-06,994998.9026280103
2023-03-07,994998.9026280103
2023-03-08,994330.9192596658
2023-03-09,992647.5894533115
2023-03-10,992647.5894533115
2023-03-13,992647.5894533115
2023-03-14,992647.5894533115
2023-03-15,992647.5894533115
2023-03-16,992647.5894533115
2023-03-17,993144.6731291526
2023-03-20,996924.6731291526
2023-03-21,996924.6731291526
2023-03-22,996924.6731291526
2023-03-23,996924.6731291526
2023-03-24,996924.6731291526
2023-03-27,996924.6731291526
2023-03-28,996924.6731291526
2023-03-29,996924.6731291526
2023-03-30,996924.6731291526
2023-03-31,996924.6731291526
2023-04-03,996924.6731291526
2023-04-04,996924.6731291526
2023-04-06,996924.6731291526
2023-04-07,996924.6731291526
2023-04-10,996924.6731291526
2023-04-11,996924.6731291526
2023-04-12,996924.6731291526
2023-04-13,996924.6731291526
