group_name,total_return,total_return_pct,gross_profit,gross_loss,net_profit,trade_count,win_count,win_rate,win_rate_pct,profit_factor
ALL,-0.008039859999999985,-0.80%,33481.0,-41520.86,-8039.86,35,9,0.2571428571428571,25.71%,0.8064
GOOD_SETUP,-0.008039859999999985,-0.80%,24593.0,-9234.46,15358.54,7,3,0.42857142857142855,42.86%,2.6632
NORMAL_SETUP,-0.008039859999999985,-0.80%,8888.0,-32286.39,-23398.39,28,6,0.21428571428571427,21.43%,0.2753
