entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
17730,17732,long,1,4086.0,4066.0,-20.0,28.152,-48.152
17962,17963,short,1,3797.0,3804.0,-7.0,27.601,-34.601
17986,17990,short,1,3700.0,3724.0,-24.0,27.424,-51.424
18007,18011,short,1,3649.0,3561.0,88.0,27.21,60.79
18091,18095,short,1,3385.0,3425.0,-40.0,26.810000000000002,-66.81
18121,18123,short,1,3280.0,3289.0,-9.0,26.569000000000003,-35.569
18202,18208,long,1,3501.0,3478.0,-23.0,26.979,-49.979
18374,18381,short,1,3334.0,3350.0,-16.0,26.683999999999997,-42.684
18391,18396,short,1,3287.0,3303.0,-16.0,26.590000000000003,-42.59
18481,18488,long,1,3380.0,3371.0,-9.0,26.751,-35.751000000000005
18516,18525,long,1,3435.0,3440.0,5.0,26.875,-21.875
18578,18581,long,1,3507.0,3545.0,38.0,27.052,10.948
18607,18618,long,1,3639.0,3650.0,11.0,27.289,-16.289
