signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
breakout_pullback_continuation,0,mfe_mae,random_forest,5,feature_atr14,0.07374289521864552,14周期 ATR 波动率
breakout_pullback_continuation,0,mfe_mae,random_forest,6,feature_volume,0.06647887116031152,信号时点成交量
breakout_pullback_continuation,0,mfe_mae,random_forest,7,feature_don_atr20,0.0659698845031395,Donchian 宽度/ATR20
breakout_pullback_continuation,0,mfe_mae,random_forest,8,generic_mfi_14,0.062134445615537034,资金流量指数
breakout_pullback_continuation,0,mfe_mae,random_forest,9,generic_stoch_d,0.056867831135166934,KDJ-D 值
breakout_pullback_continuation,0,mfe_mae,random_forest,10,generic_context_score,0.05371907006004416,"大环境配合分 [0, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,1,feature_volume,0.05588157546920436,信号时点成交量
donchian_breakout,0,trade_filter,hist_gradient_boosting,2,generic_breakout_quality_score,0.013904308749669525,"突破质量分 [0, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,3,generic_stoch_d,0.01353423209093311,KDJ-D 值
donchian_breakout,0,trade_filter,hist_gradient_boosting,4,generic_rsi_14,0.0005286809410520732,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,5,feature_don_lower_exit,0.00037007665873645124,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,trade_filter,hist_gradient_boosting,6,feature_open,5.286809410520732e-05,信号时点开盘价
donchian_breakout,0,trade_filter,hist_gradient_boosting,7,feature_open_interest,5.286809410520732e-05,信号时点持仓量
donchian_breakout,0,trade_filter,hist_gradient_boosting,8,generic_trend_score,5.286809410520732e-05,"综合趋势得分 [-1, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,9,feature_atr14,0.0,14周期 ATR 波动率
donchian_breakout,0,trade_filter,hist_gradient_boosting,10,feature_atr_lower,0.0,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,regime_classifier,random_forest,1,generic_stoch_k,0.169646896556676,KDJ-K 值
donchian_breakout,0,regime_classifier,random_forest,2,generic_rsi_14,0.12069276997055703,未在 FEATURES.md 登记（自定义/衍生特征）
donchian_breakout,0,regime_classifier,random_forest,3,generic_macd_dif,0.12008873022129658,MACD 快慢线差
donchian_breakout,0,regime_classifier,random_forest,4,feature_trend_score,0.1200094374001628,趋势强弱分数
