window_id,pred_split,decile,sample_count,score_min,score_max,score_mean,avg_return_atr,median_return_atr,total_return_atr,win_rate,executed_rate,executed_avg_return_atr
0,test,1,2,0.1590714319090289,0.23529411764705882,0.19718277477804386,-0.19119182439133686,-0.19119182439133686,-0.3823836487826737,0.0,1.0,-0.19119182439133686
0,test,2,2,0.2627319717399267,0.2761088132087101,0.26942039247431837,-0.6786523111321576,-0.6786523111321576,-1.3573046222643153,0.5,1.0,-0.6786523111321576
0,test,3,1,0.4203294721388344,0.4203294721388344,0.4203294721388344,-1.701908746515128,-1.701908746515128,-1.701908746515128,0.0,1.0,-1.701908746515128
0,test,4,2,0.5554349171160547,0.6126138639689792,0.584024390542517,-0.14599981971808507,-0.14599981971808507,-0.29199963943617013,0.5,1.0,-0.14599981971808507
0,test,5,2,0.64730517884939,0.6771821559964986,0.6622436674229443,-1.1484366641865913,-1.1484366641865913,-2.2968733283731826,0.0,1.0,-1.1484366641865913
0,test,6,1,0.8108678597633193,0.8108678597633193,0.8108678597633193,-0.3404625464312614,-0.3404625464312614,-0.3404625464312614,0.0,1.0,-0.3404625464312614
0,test,7,2,0.8277990361140648,0.8332045136215361,0.8305017748678005,0.994338354876603,0.994338354876603,1.988676709753206,1.0,1.0,0.994338354876603
0,test,8,1,0.8934282297246925,0.8934282297246925,0.8934282297246925,-2.0695443111581335,-2.0695443111581335,-2.0695443111581335,0.0,1.0,-2.0695443111581335
0,test,9,2,0.9402369266178948,0.9745176876562093,0.957377307137052,-0.9135220337307726,-0.9135220337307726,-1.8270440674615451,0.5,1.0,-0.9135220337307726
0,test,10,2,0.9804353181837742,0.9818549517910743,0.9811451349874243,2.2400169864805415,2.2400169864805415,4.480033972961083,0.5,1.0,2.2400169864805415
