symbol,exchange,interval,datetime,signal_datetime,signal_type,side,order_type,signal_i,entry_i,horizon_i,entry_price,stop_price,trigger,future_mfe_atr,future_mae_atr,future_pnl_atr,atr_warmed,label_class,regime_label,candidate_status,is_executed,is_filtered,is_triggered,filtered_reason,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_open_interest,feature_turnover,feature_atr14,feature_trend_score,feature_trend_dir,feature_tr_range_atr,feature_breakout_score,feature_don_upper_entry,feature_don_lower_entry,feature_don_upper_exit,feature_don_lower_exit,feature_don_atr20,feature_atr_ma,feature_atr_value,feature_atr_upper,feature_atr_lower,feature_bp_breakout_level,feature_bp_bars_since_breakout,feature_bp_confirmed,generic_sma_20,generic_ema_20,generic_macd_dif,generic_macd_dea,generic_rsi_14,generic_atr_14,generic_bb_width,generic_stoch_k,generic_stoch_d,generic_mfi_14,generic_trend_score,generic_compression_score,generic_breakout_mode_score,generic_setup_quality_score,generic_breakout_quality_score,generic_context_score,generic_regime_label,generic_regime_conf
RB0,SHFE,day,2010-02-03,2010-02-02,atr_breakout,short,market,21,22,42,4175.0,,,1.4106619745546514,6.522693900693067,-6.1344383113660985,1,0,trend_down,filled,1,0,1,,4316.0,4323.0,4126.0,4159.0,2453186.0,825676,0.0,79.21243324197061,-0.4,0,1.7724490241464925,,,,4650.0,4255.0,80.53263874193637,4375.25,79.21243324197061,4573.281083104926,4177.218916895074,,,False,4375.25,4339.625429095254,-44.469251679426634,-21.857507195307278,30.82460561758569,74.67212014521954,9.926770051505201,21.11484553586892,21.613600183892405,34.559056222247676,-0.20596001517541626,0.04000000000000001,0.42400000000000004,0.05342384196406427,0.49021732873617985,0.5521636708963249,transition,0.7608183544816243
RB0,SHFE,day,2010-02-05,2010-02-04,atr_breakout,short,market,23,24,44,4090.0,,,0.31622661465356056,7.760728167956133,-7.484029880134267,1,0,trend_down,filled,1,0,1,,4150.0,4158.0,4093.0,4115.0,1152398.0,775898,0.0,77.96378172394405,-0.4,0,2.9706101330494024,,,,4650.0,4126.0,79.50070646459757,4334.45,77.96378172394405,4529.35945430986,4139.54054569014,,,False,4334.45,4304.477958964596,-61.01068266985749,-34.37712604673983,29.62953365358497,74.04891992113318,9.991881558284337,18.168879489775957,20.704338552092356,28.22963701123747,-0.35665907724764917,0.06,0.4,0.04176488555763535,0.2060967375650289,0.9378744849911,transition,0.7608183544816243
RB0,SHFE,day,2010-03-02,2010-03-01,donchian_breakout,long,stop,35,36,56,,4680.0,4680.0,1.7202454619877316,1.7100059056663761,0.8294040620297992,1,0,trend_up,not_triggered,0,0,0,,4651.0,4679.0,4625.0,4677.0,694750.0,443312,0.0,99.09590308128202,0.65,1,1.9859549575785949,,4650.0,4066.0,4376.0,4066.0,92.86177963584433,4245.85,99.09590308128202,4493.589757703206,3998.110242296795,,,False,4245.85,4289.403649636032,6.211628231191753,-31.705223623687495,72.23708976773757,97.48710983164942,11.367677749873538,65.50451931313653,56.64220576346106,39.94952479329468,-0.039998682178370534,0.020000000000000004,0.42400000000000004,0.5,0.41811078204440283,0.5521636708963249,transition,0.7608183544816243
RB0,SHFE,day,2010-03-02,2010-03-01,atr_breakout,long,market,35,36,56,4666.0,,,1.8635992504867094,1.5666521171673984,0.9727578505287768,1,1,trend_up,filled,1,0,1,,4651.0,4679.0,4625.0,4677.0,694750.0,443312,0.0,99.09590308128202,0.65,1,1.9859549575785949,,4650.0,4066.0,4376.0,4066.0,92.86177963584433,4245.85,99.09590308128202,4493.589757703206,3998.110242296795,,,False,4245.85,4289.403649636032,6.211628231191753,-31.705223623687495,72.23708976773757,97.48710983164942,11.367677749873538,65.50451931313653,56.64220576346106,39.94952479329468,-0.039998682178370534,0.020000000000000004,0.42400000000000004,0.5,0.41811078204440283,0.5521636708963249,transition,0.7608183544816243
RB0,SHFE,day,2010-03-12,2010-03-11,breakout_pullback_continuation,long,stop,43,44,64,4674.0,4674.0,4674.0,2.6857062433771297,0.5091386243368966,2.5202361904676382,1,1,trend_up,filled,1,0,1,,4657.0,4673.0,4603.0,4652.0,2179364.0,808320,0.0,82.22283928065688,0.45,0,6.129683727895385,,4679.0,4066.0,4679.0,4066.0,82.33565610491452,4392.0,82.22283928065688,4597.5570982016425,4186.4429017983575,4650.0,8.0,True,4392.0,4467.332305026071,94.2635572444733,58.703940910849745,66.45455896879047,81.33359154424953,19.350067671853104,85.92631451947179,82.17732433552538,36.46052093473086,0.19990956861880577,0.0,0.02400000000000002,0.06101196723938222,0.06,0.5521636708963249,transition,0.7608183544816243
RB0,SHFE,day,2010-03-17,2010-03-16,donchian_breakout,long,stop,46,47,67,4799.0,4795.0,4795.0,1.2153420918855233,0.9575422542128366,0.24552365492636832,1,1,trend_up,filled,1,0,1,,4650.0,4794.0,4646.0,4780.0,3010260.0,1017718,0.0,81.03228057565714,0.65,1,1.954776527017615,,4679.0,4066.0,4679.0,4115.0,81.33890815295109,4477.15,81.03228057565714,4679.730701439143,4274.569298560857,,,False,4477.15,4528.576641850105,108.10045462867129,79.89327913015158,72.59313963601309,80.32029906075664,18.347668812526962,89.949306095005,86.58375109265495,50.54500948718603,0.48590684181409705,0.0,0.4,0.5,0.880729021098862,0.5521636708963249,transition,0.7608183544816243
RB0,SHFE,day,2010-04-07,2010-04-06,tight_range_breakout,long,stop,60,61,81,4849.0,4849.0,4849.0,0.8416546354217534,4.672042057851366,-3.6414445450900352,1,0,trend_up,filled,1,0,1,,4799.0,4832.0,4794.0,4824.0,1307376.0,1084112,0.0,60.38931968320357,0.6964493788489987,1,1.3512323110786075,0.5029264449891041,4848.0,4066.0,4848.0,4572.0,65.09830499046552,4742.7,60.38931968320357,4893.673299208009,4591.726700791991,,,False,4742.7,4716.374349395807,83.24034017192116,93.43749915139274,67.8896672703658,60.1370394922505,4.947063027979121,55.57335359729423,52.48506819432303,60.048024884823064,0.21911788009431496,0.3,0.0,0.6008605629285788,0.06,0.4237901841430617,transition,0.45775689086456217
RB0,SHFE,day,2010-04-13,2010-04-12,donchian_breakout,long,stop,64,65,85,4886.0,4886.0,4886.0,0.2239527744045843,9.163401019387575,-8.958110976183372,1,0,trend_up,filled,1,0,1,,4865.0,4885.0,4853.0,4872.0,1533734.0,1251714,0.0,55.012165750520026,0.9166174909590874,1,2.0722688962472335,,4854.0,4066.0,4854.0,4634.0,60.32716377914035,4781.75,55.012165750520026,4919.2804143763,4644.2195856237,,,False,4781.75,4758.980247878255,80.05619337500138,85.83592793640008,68.7077827616218,54.82460393945665,3.9476358309459734,81.81682714372815,71.45187018083101,57.23801561319463,0.4702249182524051,0.3,0.4,0.5782101100591109,0.10101415779553646,0.3968159627038497,transition,0.32648539644207286
RB0,SHFE,day,2010-04-29,2010-04-28,atr_breakout,short,market,76,77,97,4594.0,,,8.672387960851099,1.6165635453340865,6.428217392034368,1,1,range,filled,1,0,1,,4621.0,4649.0,4585.0,4588.0,1844532.0,1244012,0.0,53.39457148204745,-0.178384711991938,0,3.955458282327643,,4898.0,4066.0,4898.0,4667.0,56.36650746140262,4782.15,53.39457148204745,4915.636428705118,4648.663571294881,,,False,4782.15,4744.0820065924945,-2.51536126609426,30.503728712376894,33.36147121570167,53.31749387606122,5.961943935772282,7.7137819877126645,16.11920443904599,25.663934605930294,-0.35957514325076145,0.32,0.42400000000000004,0.011049413857620293,0.22822341027830784,0.8497036485510141,transition,0.5074110064865438
RB0,SHFE,day,2010-05-10,2010-05-07,atr_breakout,short,market,82,83,103,4572.0,,,9.569819111195619,0.1355018635213539,9.33269085003325,1,1,trend_down,filled,1,0,1,,4610.0,4618.0,4537.0,4545.0,2467400.0,1164612,0.0,56.581299854425296,-0.4667830291852583,0,3.3297220191958,,4898.0,4156.0,4898.0,4577.0,57.798100943980614,4729.35,56.581299854425296,4870.803249636064,4587.896750363937,,,False,4729.35,4686.95329140969,-33.43176633445364,-10.060888580357831,33.67409153451253,56.531889255648316,8.712022221172061,21.427841233481107,23.212479427013182,28.13883652407911,-0.303742670500606,0.020000000000000004,0.42400000000000004,0.04574746825968556,0.4414910070994162,0.9115916136906043,transition,0.7608183544816243
