symbol,exchange,interval,datetime,signal_datetime,signal_type,side,order_type,signal_i,entry_i,horizon_i,entry_price,stop_price,trigger,future_mfe_atr,future_mae_atr,future_pnl_atr,atr_warmed,label_class,regime_label,candidate_status,is_executed,is_filtered,is_triggered,filtered_reason,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_open_interest,feature_turnover,feature_atr14,feature_trend_score,feature_trend_dir,feature_tr_range_atr,feature_breakout_score,feature_don_upper_entry,feature_don_lower_entry,feature_don_upper_exit,feature_don_lower_exit,feature_don_atr20,feature_atr_ma,feature_atr_value,feature_atr_upper,feature_atr_lower,feature_bp_breakout_level,feature_bp_bars_since_breakout,feature_bp_confirmed
RB0,SHFE,day,2010-02-03,2010-02-02,atr_breakout,short,market,21,22,42,4175.0,,,1.4106619745546514,6.522693900693067,-6.1344383113660985,1,0,trend_down,filled,1,0,1,,4316.0,4323.0,4126.0,4159.0,2453186.0,825676,0.0,79.21243324197061,-0.4,0,1.7724490241464925,,,,4650.0,4255.0,80.53263874193637,4375.25,79.21243324197061,4573.281083104926,4177.218916895074,,,False
RB0,SHFE,day,2010-02-05,2010-02-04,atr_breakout,short,market,23,24,44,4090.0,,,0.31622661465356056,7.760728167956133,-7.484029880134267,1,0,trend_down,filled,1,0,1,,4150.0,4158.0,4093.0,4115.0,1152398.0,775898,0.0,77.96378172394405,-0.4,0,2.9706101330494024,,,,4650.0,4126.0,79.50070646459757,4334.45,77.96378172394405,4529.35945430986,4139.54054569014,,,False
RB0,SHFE,day,2010-03-02,2010-03-01,donchian_breakout,long,stop,35,36,56,,4680.0,4680.0,1.7202454619877316,1.7100059056663761,0.8294040620297992,1,0,trend_up,not_triggered,0,0,0,,4651.0,4679.0,4625.0,4677.0,694750.0,443312,0.0,99.09590308128202,0.65,1,1.9859549575785949,,4650.0,4066.0,4376.0,4066.0,92.86177963584433,4245.85,99.09590308128202,4493.589757703206,3998.110242296795,,,False
RB0,SHFE,day,2010-03-02,2010-03-01,atr_breakout,long,market,35,36,56,4666.0,,,1.8635992504867094,1.5666521171673984,0.9727578505287768,1,1,trend_up,filled,1,0,1,,4651.0,4679.0,4625.0,4677.0,694750.0,443312,0.0,99.09590308128202,0.65,1,1.9859549575785949,,4650.0,4066.0,4376.0,4066.0,92.86177963584433,4245.85,99.09590308128202,4493.589757703206,3998.110242296795,,,False
RB0,SHFE,day,2010-03-12,2010-03-11,breakout_pullback_continuation,long,stop,43,44,64,4674.0,4674.0,4674.0,2.6857062433771297,0.5091386243368966,2.5202361904676382,1,1,trend_up,filled,1,0,1,,4657.0,4673.0,4603.0,4652.0,2179364.0,808320,0.0,82.22283928065688,0.45,0,6.129683727895385,,4679.0,4066.0,4679.0,4066.0,82.33565610491452,4392.0,82.22283928065688,4597.5570982016425,4186.4429017983575,4650.0,8.0,True
RB0,SHFE,day,2010-03-17,2010-03-16,donchian_breakout,long,stop,46,47,67,4799.0,4795.0,4795.0,1.2153420918855233,0.9575422542128366,0.24552365492636832,1,1,trend_up,filled,1,0,1,,4650.0,4794.0,4646.0,4780.0,3010260.0,1017718,0.0,81.03228057565714,0.65,1,1.954776527017615,,4679.0,4066.0,4679.0,4115.0,81.33890815295109,4477.15,81.03228057565714,4679.730701439143,4274.569298560857,,,False
RB0,SHFE,day,2010-04-07,2010-04-06,tight_range_breakout,long,stop,60,61,81,4849.0,4849.0,4849.0,0.8416546354217534,4.672042057851366,-3.6414445450900352,1,0,trend_up,filled,1,0,1,,4799.0,4832.0,4794.0,4824.0,1307376.0,1084112,0.0,60.38931968320357,0.6964493788489987,1,1.3512323110786075,0.5029264449891041,4848.0,4066.0,4848.0,4572.0,65.09830499046552,4742.7,60.38931968320357,4893.673299208009,4591.726700791991,,,False
RB0,SHFE,day,2010-04-13,2010-04-12,donchian_breakout,long,stop,64,65,85,4886.0,4886.0,4886.0,0.2239527744045843,9.163401019387575,-8.958110976183372,1,0,trend_up,filled,1,0,1,,4865.0,4885.0,4853.0,4872.0,1533734.0,1251714,0.0,55.012165750520026,0.9166174909590874,1,2.0722688962472335,,4854.0,4066.0,4854.0,4634.0,60.32716377914035,4781.75,55.012165750520026,4919.2804143763,4644.2195856237,,,False
RB0,SHFE,day,2010-04-29,2010-04-28,atr_breakout,short,market,76,77,97,4594.0,,,8.672387960851099,1.6165635453340865,6.428217392034368,1,1,range,filled,1,0,1,,4621.0,4649.0,4585.0,4588.0,1844532.0,1244012,0.0,53.39457148204745,-0.178384711991938,0,3.955458282327643,,4898.0,4066.0,4898.0,4667.0,56.36650746140262,4782.15,53.39457148204745,4915.636428705118,4648.663571294881,,,False
RB0,SHFE,day,2010-05-10,2010-05-07,atr_breakout,short,market,82,83,103,4572.0,,,9.569819111195619,0.1355018635213539,9.33269085003325,1,1,trend_down,filled,1,0,1,,4610.0,4618.0,4537.0,4545.0,2467400.0,1164612,0.0,56.581299854425296,-0.4667830291852583,0,3.3297220191958,,4898.0,4156.0,4898.0,4577.0,57.798100943980614,4729.35,56.581299854425296,4870.803249636064,4587.896750363937,,,False
