strategy,vt_symbol,start,end,capital,size,rate,slippage,start_date,end_date,total_days,profit_days,loss_days,end_balance,max_drawdown,max_ddpercent,max_drawdown_duration,total_net_pnl,daily_net_pnl,total_commission,daily_commission,total_slippage,daily_slippage,total_turnover,daily_turnover,total_trade_count,daily_trade_count,total_return,annual_return,daily_return,return_std,sharpe_ratio,ewm_sharpe,return_drawdown_ratio,rgr_ratio,round_trip_count,round_trip_win_rate,round_trip_profit_factor,round_trip_avg_return_pct
tight_range_breakout,RB0.SHFE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,9,14,999199.931,-2078.7859999999637,-0.2076131215720192,1646,-800.0690000000002,-0.4711831566548882,30.069000000000003,0.017708480565371026,80.0,0.04711425206124853,300690.0,177.08480565371025,8,0.004711425206124852,-0.08000690000000699,-0.011308395759718301,-4.7137174676989845e-05,0.004207400786976099,-0.17356225542036885,-0.9764482796100276,-0.3853653343016341,-0.008985427451524832,4,0.25,0.5188880296435628,-0.003908462161273763
tight_range_breakout,I0.DCE,2018-01-01,2024-12-31,1000000.0,100,0.0001,0.5,2018-01-02,2024-12-31,1698,30,17,1017089.915,-6375.6849999999395,-0.6229505906207242,329,17089.915,10.064732037691401,60.08500000000001,0.035385747938751475,400.0,0.23557126030624265,600850.0,353.85747938751473,8,0.004711425206124852,1.7089915000000122,0.24155356890459534,0.0009979696792920922,0.0238822736502159,0.647362140561234,-0.5908147412089447,2.74338210081337,0.0967925513278535,4,0.75,4.548481973040539,0.07487221922047871
tight_range_breakout,CU0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,10.0,2018-01-02,2024-12-31,1698,31,24,1000080.225,-57088.505000000005,-5.400131821908884,526,80.22499999999127,0.04724676089516565,569.7750000000001,0.3355565371024736,900.0,0.5300353356890459,5697750.0,3355.5653710247348,18,0.01060070671378092,0.008022500000004484,0.0011339222614847328,4.724486581071605e-06,0.07884511955713189,0.0009282937460504174,-0.24650397844102517,0.001485611882187095,6.423190025820409e-05,9,0.3333333333333333,1.0016660068054484,0.003145310729206465
tight_range_breakout,AL0.SHFE,2018-01-01,2024-12-31,1000000.0,5,0.0001,1.0,2018-01-02,2024-12-31,1698,38,33,1000514.6825,-10922.18499999994,-1.0826215927712117,1047,514.6824999999999,0.30311101295641923,200.3175,0.11797261484098939,110.0,0.06478209658421673,2003175.0,1179.726148409894,22,0.012956419316843345,0.05146824999999744,0.007274664310953701,3.030330367439869e-05,0.021060200153713265,0.022291182345732623,-0.33998420290990283,0.04754038746655049,0.0016200734707102924,11,0.36363636363636365,1.048201682246273,0.0020188810264174695
tight_range_breakout,M0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,30,36,994978.48,-5742.0929999999935,-0.5742092999999994,2255,-5021.52,-2.9573144876325093,81.52000000000001,0.04800942285041226,240.0,0.1413427561837456,815200.0,480.0942285041225,24,0.014134275618374558,-0.5021520000000002,-0.07097554770318024,-0.00029647645454296967,0.007440690769027612,-0.6172805222693596,-0.35806372392318503,-0.8745103919424515,-0.056363737897381805,12,0.08333333333333333,0.22924755582733494,-0.010079625617606858
tight_range_breakout,P0.DCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,2.0,2018-01-02,2024-12-31,1698,45,31,1014324.356,-7165.264000000083,-0.7050021611332851,482,14324.356,8.436016489988221,115.644,0.06810600706713782,360.0,0.21201413427561838,1156440.0,681.0600706713781,18,0.01060070671378092,1.4324355999999927,0.20246439575971628,0.0008376167097205744,0.024884834152969243,0.5214542395277738,1.388267471034009,2.031817317690721,0.09677608630301057,9,0.4444444444444444,3.6654249166749775,0.020364017692694393
tight_range_breakout,TA0.CZCE,2018-01-01,2024-12-31,1000000.0,5,0.0001,2.0,2018-01-02,2024-12-31,1697,23,30,995097.664,-4909.326000000001,-0.4909326000000001,2375,-4902.336,-2.8888249852681205,62.336000000000006,0.03673305833824397,220.0,0.1296405421331762,623360.0,367.3305833824396,22,0.01296405421331762,-0.4902336000000007,-0.06933179964643499,-0.00028959292083322974,0.005787571204126168,-0.7751704609816572,-0.926903953692562,-0.9985761792963038,-0.055388019086317616,11,0.18181818181818182,0.06650940719602987,-0.01448015126476228
tight_range_breakout,MA0.CZCE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1696,28,34,1003729.344,-3299.033000000054,-0.32767398120976016,1008,3729.343999999999,2.198905660377358,50.656000000000006,0.02986792452830189,200.0,0.1179245283018868,506560.0,298.6792452830189,20,0.01179245283018868,0.37293440000001343,0.0527737358490585,0.00021948155882651243,0.012910693183394713,0.26336259720834476,-0.08912558672503386,1.1381263737302347,0.025486493354182214,10,0.3,2.2887047448572333,0.010758656609937701
breakout_pullback,RB0.SHFE,2018-01-01,2024-12-31,1000000.0,10,0.0001,1.0,2018-01-02,2024-12-31,1698,6,15,996382.299,-3973.631000000052,-0.3972217168743181,1606,-3617.7010000000005,-2.130565959952886,47.70100000000001,0.028092461719670205,120.0,0.0706713780918728,477010.0,280.924617196702,12,0.007067137809187279,-0.36177010000000287,-0.05113358303886967,-0.0002134429155326445,0.005281762078934361,-0.6260492955719612,-0.43169459450849945,-0.9107510607595198,-0.026166587420981914,6,0.0,0.0,-0.014109213085557454
breakout_pullback,I0.DCE,2018-01-01,2024-12-31,1000000.0,100,0.0001,0.5,2018-01-02,2024-12-31,1698,21,17,1008857.345,-8355.244999999995,-0.8242476749510693,424,8857.345000000001,5.216339811542992,92.65500000000002,0.05456713780918729,600.0,0.35335689045936397,926550.0,545.6713780918728,12,0.007067137809187279,0.8857345000000016,0.12519215547703202,0.0005193373862796636,0.02259828168990836,0.3560244226926763,0.5690545865194935,1.0745975110607167,0.05411362707900861,6,0.5,2.6408795972526486,0.028648646118497077
