entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
13,20,long,10,4633.0,4497.0,-1360.0,291.3,-1651.3
126,127,short,17,4275.0,4280.0,-85.0,485.435,-570.435
128,130,short,12,4187.0,4145.0,504.0,339.98400000000004,164.01599999999996
238,241,long,23,4167.0,4189.0,506.0,652.188,-146.188
277,278,long,15,4676.0,4735.0,885.0,441.16499999999996,443.83500000000004
358,373,long,21,4783.0,4833.0,1050.0,621.9359999999999,428.0640000000001
526,529,short,14,4372.0,4268.0,1456.0,400.96000000000004,1055.04
1897,1901,long,18,4907.0,4884.0,-414.0,536.238,-950.238
1999,2008,short,22,4794.0,4802.0,-176.0,651.1120000000001,-827.1120000000001
2029,2036,long,25,4879.0,4865.0,-350.0,743.6,-1093.6
2046,2051,short,31,4856.0,4862.0,-186.0,921.258,-1107.258
2346,2363,long,13,4815.0,4834.0,247.0,385.437,-138.437
2641,2650,long,9,4070.0,4090.0,180.0,253.44,-73.44
2832,2841,short,27,4151.0,4154.0,-81.0,764.235,-845.235
2908,2911,short,31,4210.0,4205.0,155.0,880.865,-725.865
2959,2965,long,20,4234.0,4210.0,-480.0,568.88,-1048.88
2967,2988,long,21,4235.0,4310.0,1575.0,599.4449999999999,975.5550000000001
2994,3001,long,17,4335.0,4319.0,-272.0,487.118,-759.1179999999999
3016,3033,long,19,4308.0,4313.0,95.0,543.799,-448.799
3186,3188,long,23,4359.0,4333.0,-598.0,659.9159999999999,-1257.916
3220,3241,long,22,4354.0,4363.0,198.0,631.774,-433.774
3267,3288,long,20,4344.0,4361.0,340.0,574.1,-234.10000000000002
3385,3403,short,21,4218.0,4202.0,336.0,596.8199999999999,-260.81999999999994
3476,3493,long,15,4076.0,4070.0,-90.0,422.19,-512.19
3504,3511,short,16,4066.0,4060.0,96.0,450.01599999999996,-354.01599999999996
3558,3579,long,21,4119.0,4147.0,588.0,593.586,-5.586000000000013
3680,3701,short,13,3901.0,3837.0,832.0,360.594,471.406
3733,3753,long,13,3738.0,3730.0,-104.0,357.084,-461.084
3784,3792,short,17,3663.0,3685.0,-374.0,464.91600000000005,-838.916
3822,3843,short,17,3645.0,3578.0,1139.0,462.791,676.2090000000001
3942,3943,long,9,3520.0,3523.0,27.0,243.387,-216.387
3957,3968,long,8,3594.0,3536.0,-464.0,217.04000000000002,-681.04
4023,4027,long,9,3695.0,3664.0,-279.0,246.231,-525.231
4068,4078,long,15,3666.0,3698.0,480.0,410.46000000000004,69.53999999999996
4093,4100,long,11,3697.0,3646.0,-561.0,300.773,-861.773
4147,4153,short,12,3606.0,3636.0,-360.0,326.904,-686.904
4188,4189,short,18,3632.0,3636.0,-72.0,490.824,-562.8240000000001
4207,4214,short,16,3543.0,3571.0,-448.0,433.82399999999996,-881.824
4224,4241,short,20,3544.0,3488.0,1120.0,540.64,579.36
4292,4303,long,12,3691.0,3682.0,-108.0,328.476,-436.476
4328,4333,short,11,3777.0,3778.0,-11.0,303.105,-314.105
4345,4346,long,12,3832.0,3854.0,264.0,332.23199999999997,-68.23199999999997
4398,4408,long,12,4021.0,3936.0,-1020.0,335.48400000000004,-1355.484
4453,4457,long,10,4009.0,3991.0,-180.0,280.0,-460.0
4482,4503,long,14,4081.0,4195.0,1596.0,395.86400000000003,1200.136
4548,4569,short,10,4150.0,4017.0,1330.0,281.67,1048.33
4615,4636,short,10,3911.0,3840.0,710.0,277.51,432.49
4663,4684,long,2,3864.0,3902.0,76.0,55.532000000000004,20.467999999999996
4685,4689,long,6,3921.0,3880.0,-246.0,166.80599999999998,-412.806
4699,4720,short,9,3863.0,3717.0,1314.0,248.22,1065.78
4747,4754,long,12,3862.0,3826.0,-432.0,332.256,-764.256
4847,4854,long,11,3659.0,3615.0,-484.0,300.014,-784.014
4865,4870,long,11,3671.0,3621.0,-550.0,300.212,-850.212
4952,4971,long,12,3459.0,3434.0,-300.0,322.716,-622.716
4988,4994,short,12,3387.0,3460.0,-876.0,322.164,-1198.164
5009,5015,long,14,3513.0,3463.0,-700.0,377.664,-1077.664
5059,5080,long,13,3503.0,3627.0,1612.0,352.69,1259.31
5099,5100,long,13,3641.0,3640.0,-13.0,354.653,-367.653
5135,5141,short,19,3663.0,3704.0,-779.0,519.973,-1298.973
5167,5187,short,23,3674.0,3650.0,552.0,628.452,-76.452
5198,5219,long,19,3676.0,3711.0,665.0,520.3530000000001,144.64699999999993
5257,5264,short,17,3804.0,3801.0,51.0,469.285,-418.285
5283,5288,short,17,3774.0,3771.0,51.0,468.265,-417.265
5309,5327,short,13,3775.0,3789.0,-182.0,358.332,-540.332
5348,5354,short,17,3723.0,3733.0,-170.0,466.752,-636.752
5378,5379,short,19,3674.0,3673.0,19.0,519.5930000000001,-500.5930000000001
5425,5442,short,22,3604.0,3554.0,1100.0,597.476,502.524
5465,5472,long,18,3622.0,3605.0,-306.0,490.086,-796.086
5496,5506,long,17,3582.0,3545.0,-629.0,461.159,-1090.159
5565,5572,short,18,3653.0,3673.0,-360.0,491.86800000000005,-851.868
5742,5763,short,18,3666.0,3620.0,828.0,491.148,336.852
5795,5796,short,20,3595.0,3597.0,-40.0,543.8399999999999,-583.8399999999999
5810,5823,short,16,3551.0,3478.0,1168.0,432.464,735.5360000000001
5867,5888,short,16,3479.0,3403.0,1216.0,430.11199999999997,785.888
5928,5930,long,19,3459.0,3449.0,-190.0,511.252,-701.252
5960,5976,long,19,3415.0,3430.0,285.0,510.055,-225.055
6016,6022,long,17,3341.0,3303.0,-646.0,452.948,-1098.9479999999999
6077,6098,long,8,3282.0,3242.0,-320.0,212.192,-532.192
6106,6110,long,12,3276.0,3231.0,-540.0,318.084,-858.0840000000001
6137,6158,long,13,3294.0,3343.0,637.0,346.281,290.719
6164,6166,short,16,3313.0,3330.0,-272.0,426.288,-698.288
6173,6174,long,18,3363.0,3359.0,-72.0,480.996,-552.996
