signal_type,window_id,model,model_kind,rank,feature,importance
donchian_breakout,0,trade_filter,hist_gradient_boosting,1,generic_breakout_mode_score,0.24562828217205354
donchian_breakout,0,trade_filter,hist_gradient_boosting,2,generic_breakout_quality_score,0.01751394077202099
donchian_breakout,0,trade_filter,hist_gradient_boosting,3,feature_turnover,0.0023144388500893065
donchian_breakout,0,trade_filter,hist_gradient_boosting,4,generic_trend_score,0.0018520022377421046
donchian_breakout,0,trade_filter,hist_gradient_boosting,5,generic_bb_width,0.0008481764206954937
donchian_breakout,0,trade_filter,hist_gradient_boosting,6,generic_stoch_k,0.0007759911934022515
donchian_breakout,0,trade_filter,hist_gradient_boosting,7,generic_mfi_14,0.00047145976575894516
donchian_breakout,0,trade_filter,hist_gradient_boosting,8,generic_setup_quality_score,0.000462436612347276
donchian_breakout,0,trade_filter,hist_gradient_boosting,9,feature_don_lower_entry,0.00037220507823076954
donchian_breakout,0,trade_filter,hist_gradient_boosting,10,feature_volume,0.00035867034811324733
donchian_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.16466824804415425
donchian_breakout,0,regime_classifier,random_forest,2,generic_rsi_14,0.15897590501089448
donchian_breakout,0,regime_classifier,random_forest,3,generic_macd_dif,0.13360910895151862
donchian_breakout,0,regime_classifier,random_forest,4,generic_stoch_k,0.10476803430758229
donchian_breakout,0,regime_classifier,random_forest,5,generic_macd_dea,0.10274999451987188
donchian_breakout,0,regime_classifier,random_forest,6,generic_stoch_d,0.09429307190986282
donchian_breakout,0,regime_classifier,random_forest,7,generic_trend_score,0.08836176797172413
donchian_breakout,0,regime_classifier,random_forest,8,generic_mfi_14,0.07425709489939535
donchian_breakout,0,regime_classifier,random_forest,9,feature_trend_dir,0.049002557395833674
donchian_breakout,0,regime_classifier,random_forest,10,generic_setup_quality_score,0.008607866438565552
donchian_breakout,0,mfe_mae,random_forest,1,feature_trend_score,0.07879762768831813
donchian_breakout,0,mfe_mae,random_forest,2,feature_don_upper_entry,0.0616520033597347
donchian_breakout,0,mfe_mae,random_forest,3,generic_setup_quality_score,0.05149806770580424
donchian_breakout,0,mfe_mae,random_forest,4,generic_context_score,0.05098618436962385
donchian_breakout,0,mfe_mae,random_forest,5,generic_atr_14,0.04264809465902612
donchian_breakout,0,mfe_mae,random_forest,6,generic_rsi_14,0.04210655248687
donchian_breakout,0,mfe_mae,random_forest,7,generic_regime_conf,0.04157656806784649
donchian_breakout,0,mfe_mae,random_forest,8,generic_breakout_quality_score,0.039678576342491174
donchian_breakout,0,mfe_mae,random_forest,9,generic_macd_dea,0.03800998708161138
donchian_breakout,0,mfe_mae,random_forest,10,feature_volume,0.036937408234634955
tight_range_breakout,0,trade_filter,hist_gradient_boosting,1,generic_breakout_quality_score,0.02266795591402922
tight_range_breakout,0,trade_filter,hist_gradient_boosting,2,generic_stoch_k,0.017286920428281727
tight_range_breakout,0,trade_filter,hist_gradient_boosting,3,feature_breakout_score,0.009661493954687702
tight_range_breakout,0,trade_filter,hist_gradient_boosting,4,generic_bb_width,0.007195022247378298
tight_range_breakout,0,trade_filter,hist_gradient_boosting,5,generic_compression_score,0.00586745122085434
tight_range_breakout,0,trade_filter,hist_gradient_boosting,6,feature_open_interest,0.004758030281590497
tight_range_breakout,0,trade_filter,hist_gradient_boosting,7,feature_turnover,0.0033970488813421054
tight_range_breakout,0,trade_filter,hist_gradient_boosting,8,generic_setup_quality_score,0.003064910460198448
tight_range_breakout,0,trade_filter,hist_gradient_boosting,9,generic_regime_conf,0.0025735814348379904
tight_range_breakout,0,trade_filter,hist_gradient_boosting,10,generic_breakout_mode_score,0.0025657201704322175
tight_range_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.4541217649450872
tight_range_breakout,0,regime_classifier,random_forest,2,generic_macd_dif,0.0941317364967517
tight_range_breakout,0,regime_classifier,random_forest,3,generic_trend_score,0.08154163596870888
tight_range_breakout,0,regime_classifier,random_forest,4,generic_macd_dea,0.07544212219692356
tight_range_breakout,0,regime_classifier,random_forest,5,feature_trend_dir,0.05211049283352678
tight_range_breakout,0,regime_classifier,random_forest,6,generic_rsi_14,0.046397274246012886
tight_range_breakout,0,regime_classifier,random_forest,7,feature_don_lower_entry,0.01149925466126882
tight_range_breakout,0,regime_classifier,random_forest,8,generic_sma_20,0.01085156063190568
tight_range_breakout,0,regime_classifier,random_forest,9,generic_mfi_14,0.010142261293690764
tight_range_breakout,0,regime_classifier,random_forest,10,generic_setup_quality_score,0.008434104329180958
tight_range_breakout,0,mfe_mae,random_forest,1,feature_volume,0.05521115382628333
tight_range_breakout,0,mfe_mae,random_forest,2,generic_bb_width,0.05037739290462477
tight_range_breakout,0,mfe_mae,random_forest,3,feature_tr_range_atr,0.049719475421635476
tight_range_breakout,0,mfe_mae,random_forest,4,feature_open_interest,0.04743989220229188
tight_range_breakout,0,mfe_mae,random_forest,5,feature_breakout_score,0.04686929012496238
tight_range_breakout,0,mfe_mae,random_forest,6,generic_trend_score,0.04677158949265973
tight_range_breakout,0,mfe_mae,random_forest,7,generic_setup_quality_score,0.04526191657691431
tight_range_breakout,0,mfe_mae,random_forest,8,generic_context_score,0.044510648315830154
tight_range_breakout,0,mfe_mae,random_forest,9,generic_macd_dea,0.041236046266737485
tight_range_breakout,0,mfe_mae,random_forest,10,generic_rsi_14,0.04062102630512024
