entry_datetime,exit_datetime,entry_price,exit_price,volume,pnl,return_pct
2019-10-08 00:00:00+08:00,2019-10-11 00:00:00+08:00,2390.0,2345.0,1.0,-474.735,-0.01882845188284519
2020-01-14 00:00:00+08:00,2020-01-17 00:00:00+08:00,2376.0,2294.0,1.0,-844.67,-0.034511784511784514
2020-09-01 00:00:00+08:00,2020-09-09 00:00:00+08:00,1985.0,2008.0,1.0,206.007,0.011586901763224182
2020-10-28 00:00:00+08:00,2020-10-30 00:00:00+08:00,2023.0,2002.0,1.0,-234.025,-0.010380622837370242
2020-11-16 00:00:00+08:00,2020-11-26 00:00:00+08:00,2251.0,2235.0,1.0,-184.486,-0.007107952021323856
2020-12-10 00:00:00+08:00,2020-12-23 00:00:00+08:00,2269.0,2438.0,1.0,1665.293,0.0744821507271926
2020-12-31 00:00:00+08:00,2021-01-08 00:00:00+08:00,2366.0,2315.0,1.0,-534.681,-0.021555367709213864
2021-03-08 00:00:00+08:00,2021-03-10 00:00:00+08:00,2590.0,2509.0,1.0,-835.099,-0.03127413127413128
2021-05-13 00:00:00+08:00,2021-05-14 00:00:00+08:00,2727.0,2692.0,1.0,-375.419,-0.012834616795012835
2021-07-12 00:00:00+08:00,2021-07-28 00:00:00+08:00,2601.0,2653.0,1.0,494.746,0.019992310649750097
2021-08-30 00:00:00+08:00,2021-09-01 00:00:00+08:00,2823.0,2766.0,1.0,-595.589,-0.020191285866099893
2021-09-16 00:00:00+08:00,2021-09-17 00:00:00+08:00,3117.0,3022.0,1.0,-976.139,-0.030478023740776388
2021-09-28 00:00:00+08:00,2021-10-13 00:00:00+08:00,3385.0,3861.0,1.0,4732.754,0.14062038404726734
2022-03-08 00:00:00+08:00,2022-03-10 00:00:00+08:00,3266.0,3185.0,1.0,-836.451,-0.024800979791794242
2022-09-22 00:00:00+08:00,2022-09-23 00:00:00+08:00,2696.0,2657.0,1.0,-415.353,-0.014465875370919881
2022-09-30 00:00:00+08:00,2022-10-11 00:00:00+08:00,2828.0,2766.0,1.0,-645.594,-0.021923620933521924
2023-01-18 00:00:00+08:00,2023-02-02 00:00:00+08:00,2690.0,2716.0,1.0,234.594,0.009665427509293681
2023-08-10 00:00:00+08:00,2023-08-16 00:00:00+08:00,2368.0,2371.0,1.0,5.260999999999999,0.001266891891891892
2023-11-16 00:00:00+08:00,2023-11-20 00:00:00+08:00,2485.0,2443.0,1.0,-444.928,-0.016901408450704224
2024-03-07 00:00:00+08:00,2024-03-22 00:00:00+08:00,2513.0,2539.0,1.0,234.948,0.010346199761241544
2024-05-14 00:00:00+08:00,2024-05-15 00:00:00+08:00,2606.0,2563.0,1.0,-455.169,-0.01650038372985418
2024-11-19 00:00:00+08:00,2024-11-28 00:00:00+08:00,2532.0,2557.0,1.0,224.911,0.009873617693522907
