group_name,total_return,total_return_pct,gross_profit,gross_loss,net_profit,trade_count,win_count,win_rate,win_rate_pct,profit_factor
ALL,-0.015103699999999953,-1.51%,18038.0,-33141.7,-15103.7,30,13,0.43333333333333335,43.33%,0.5443
GOOD_SETUP,-0.015103699999999953,-1.51%,4726.0,-16432.02,-11706.02,10,3,0.3,30.00%,0.2876
NORMAL_SETUP,-0.015103699999999953,-1.51%,13312.0,-16709.68,-3397.68,20,10,0.5,50.00%,0.7967
