symbol,exchange,name,rows,start_datetime,end_datetime,file_path
NR0,INE,20号胶连续,1605,2019-08-12 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/NR0.csv
SC0,INE,上海原油连续,1941,2018-03-26 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/SC0.csv
AD0,SHFE,铸造铝合金连续,195,2025-06-10 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AD0.csv
AG0,SHFE,白银连续,3377,2012-05-10 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AG0.csv
AL0,SHFE,铝连续,5163,2005-01-04 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AL0.csv
AO0,SHFE,氧化铝连续,671,2023-06-19 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AO0.csv
AU0,SHFE,黄金连续,4436,2008-01-09 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AU0.csv
BR0,SHFE,丁二烯橡胶连续,644,2023-07-28 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/BR0.csv
BU0,SHFE,沥青连续,3029,2013-10-09 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/BU0.csv
CU0,SHFE,铜连续,5163,2005-01-04 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/CU0.csv
FU0,SHFE,燃料油连续,5138,2005-01-04 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/FU0.csv
HC0,SHFE,热轧卷板连续,2925,2014-03-21 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/HC0.csv
NI0,SHFE,镍连续,2675,2015-03-27 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/NI0.csv
OP0,SHFE,胶版印刷纸连续,129,2025-09-10 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/OP0.csv
PB0,SHFE,铅连续,3646,2011-03-24 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PB0.csv
RB0,SHFE,螺纹钢连续,4127,2009-03-27 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/RB0.csv
RU0,SHFE,天然橡胶连续,5161,2005-01-04 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/RU0.csv
SN0,SHFE,锡连续,2675,2015-03-27 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/SN0.csv
SP0,SHFE,纸浆连续,1776,2018-11-27 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/SP0.csv
SS0,SHFE,不锈钢连续,1574,2019-09-25 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/SS0.csv
ZN0,SHFE,沪锌连续,4626,2007-03-26 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/ZN0.csv
