group_name,total_return,total_return_pct,gross_profit,gross_loss,net_profit,trade_count,win_count,win_rate,win_rate_pct,profit_factor
ALL,-0.018556109999999987,-1.86%,22950.0,-41506.11,-18556.11,30,9,0.3,30.00%,0.5529
GOOD_SETUP,-0.018556109999999987,-1.86%,17730.0,-24411.43,-6681.43,12,4,0.3333333333333333,33.33%,0.7263
NORMAL_SETUP,-0.018556109999999987,-1.86%,5220.0,-17094.68,-11874.68,18,5,0.2777777777777778,27.78%,0.3054
