entry_datetime,exit_datetime,entry_price,exit_price,volume,pnl,return_pct
2019-01-21 00:00:00+08:00,2019-02-12 00:00:00+08:00,4688.0,4748.0,1.0,550.564,0.012798634812286689
2019-08-23 00:00:00+08:00,2019-08-30 00:00:00+08:00,4858.0,4838.0,1.0,-249.696,-0.004116920543433511
2019-09-05 00:00:00+08:00,2019-09-06 00:00:00+08:00,4844.0,4758.0,1.0,-909.602,-0.017753922378199834
2019-10-31 00:00:00+08:00,2019-11-26 00:00:00+08:00,5252.0,5470.0,1.0,2129.278,0.04150799695354151
2019-12-30 00:00:00+08:00,2020-01-14 00:00:00+08:00,6326.0,6254.0,1.0,-772.58,-0.01138159974707556
2020-06-22 00:00:00+08:00,2020-06-29 00:00:00+08:00,5186.0,5000.0,1.0,-1910.186,-0.03586579251831855
2020-07-07 00:00:00+08:00,2020-07-08 00:00:00+08:00,5088.0,4986.0,1.0,-1070.074,-0.020047169811320754
2020-07-24 00:00:00+08:00,2020-07-31 00:00:00+08:00,5684.0,5534.0,1.0,-1551.218,-0.026389866291344124
2020-08-14 00:00:00+08:00,2020-08-17 00:00:00+08:00,5664.0,5616.0,1.0,-531.28,-0.00847457627118644
2020-09-15 00:00:00+08:00,2020-09-22 00:00:00+08:00,6088.0,6210.0,1.0,1167.702,0.020039421813403416
2020-10-21 00:00:00+08:00,2020-11-23 00:00:00+08:00,5958.0,6684.0,1.0,7207.358,0.12185297079556898
2020-12-14 00:00:00+08:00,2020-12-15 00:00:00+08:00,6530.0,6650.0,1.0,1146.82,0.018376722817764167
2021-03-23 00:00:00+08:00,2021-03-26 00:00:00+08:00,7864.0,7818.0,1.0,-515.682,-0.005849440488301119
2021-05-07 00:00:00+08:00,2021-05-20 00:00:00+08:00,7890.0,7880.0,1.0,-155.76999999999998,-0.0012674271229404308
2021-07-30 00:00:00+08:00,2021-08-02 00:00:00+08:00,8550.0,8280.0,1.0,-2756.83,-0.031578947368421054
2021-09-16 00:00:00+08:00,2021-09-17 00:00:00+08:00,8456.0,8214.0,1.0,-2476.67,-0.028618732261116366
2021-10-18 00:00:00+08:00,2021-10-22 00:00:00+08:00,9470.0,9482.0,1.0,61.048,0.0012671594508975714
2021-11-01 00:00:00+08:00,2021-11-05 00:00:00+08:00,9748.0,9440.0,1.0,-3139.188,-0.03159622486663931
2022-03-10 00:00:00+08:00,2022-03-14 00:00:00+08:00,12536.0,12060.0,1.0,-4824.596,-0.037970644543714106
2022-04-27 00:00:00+08:00,2022-05-09 00:00:00+08:00,11410.0,11512.0,1.0,957.078,0.008939526730937774
2022-05-23 00:00:00+08:00,2022-06-09 00:00:00+08:00,11616.0,11772.0,1.0,1496.612,0.013429752066115703
2023-03-06 00:00:00+08:00,2023-03-07 00:00:00+08:00,8424.0,8244.0,1.0,-1856.668,-0.021367521367521368
2023-08-02 00:00:00+08:00,2023-08-03 00:00:00+08:00,7570.0,7430.0,1.0,-1455.0,-0.018494055482166448
2023-08-28 00:00:00+08:00,2023-09-07 00:00:00+08:00,7800.0,7644.0,1.0,-1615.444,-0.02
2023-11-28 00:00:00+08:00,2023-11-29 00:00:00+08:00,7410.0,7314.0,1.0,-1014.724,-0.012955465587044534
2024-03-07 00:00:00+08:00,2024-03-27 00:00:00+08:00,7698.0,8154.0,1.0,4504.148,0.059236165237724084
2024-04-08 00:00:00+08:00,2024-04-09 00:00:00+08:00,8518.0,8230.0,1.0,-2936.748,-0.033810753698051185
2024-06-13 00:00:00+08:00,2024-06-17 00:00:00+08:00,7730.0,7556.0,1.0,-1795.286,-0.022509702457956016
2024-07-29 00:00:00+08:00,2024-08-06 00:00:00+08:00,7840.0,7708.0,1.0,-1375.548,-0.01683673469387755
2024-10-17 00:00:00+08:00,2024-11-13 00:00:00+08:00,8922.0,9950.0,1.0,10221.128,0.11522080251064784
2024-11-26 00:00:00+08:00,2024-12-10 00:00:00+08:00,9680.0,10054.0,1.0,3680.266,0.038636363636363635
