entry_datetime,exit_datetime,entry_price,exit_price,volume,pnl,return_pct
2019-04-23 00:00:00+08:00,2019-04-24 00:00:00+08:00,49070.0,49050.0,1.0,-249.06,-0.0004075810067250866
2019-11-06 00:00:00+08:00,2019-11-14 00:00:00+08:00,47300.0,46980.0,1.0,-1747.14,-0.006765327695560253
2019-12-10 00:00:00+08:00,2020-01-03 00:00:00+08:00,48350.0,49110.0,1.0,3651.27,0.015718717683557395
2020-06-08 00:00:00+08:00,2020-06-12 00:00:00+08:00,45520.0,46350.0,1.0,4004.0649999999996,0.018233743409490334
2020-06-22 00:00:00+08:00,2020-06-29 00:00:00+08:00,47900.0,48050.0,1.0,602.025,0.003131524008350731
2020-07-14 00:00:00+08:00,2020-07-16 00:00:00+08:00,52560.0,52060.0,1.0,-2652.31,-0.009512937595129375
2020-07-30 00:00:00+08:00,2020-08-03 00:00:00+08:00,51760.0,51060.0,1.0,-3651.41,-0.013523956723338485
2020-09-02 00:00:00+08:00,2020-09-03 00:00:00+08:00,52700.0,51960.0,1.0,-3852.33,-0.014041745730550285
2020-11-16 00:00:00+08:00,2020-11-18 00:00:00+08:00,52110.0,52460.0,1.0,1597.715,0.006716561120706199
2020-11-27 00:00:00+08:00,2020-12-23 00:00:00+08:00,55160.0,57870.0,1.0,13393.485,0.049129804205946336
2021-01-05 00:00:00+08:00,2021-01-11 00:00:00+08:00,58220.0,58790.0,1.0,2691.495,0.009790450017176228
2021-03-12 00:00:00+08:00,2021-03-26 00:00:00+08:00,67260.0,65210.0,1.0,-10416.235,-0.03047873922093369
2021-04-16 00:00:00+08:00,2021-05-11 00:00:00+08:00,68130.0,75120.0,1.0,34778.375,0.10259797446059005
2021-05-19 00:00:00+08:00,2021-05-20 00:00:00+08:00,75740.0,73420.0,1.0,-11774.58,-0.03063110641668867
2021-08-09 00:00:00+08:00,2021-08-10 00:00:00+08:00,70160.0,68540.0,1.0,-8269.35,-0.023090079817559863
2022-01-21 00:00:00+08:00,2022-01-25 00:00:00+08:00,71190.0,70020.0,1.0,-6020.605,-0.01643489254108723
2022-02-21 00:00:00+08:00,2022-02-24 00:00:00+08:00,71510.0,70690.0,1.0,-4271.1,-0.011466927702419243
2022-03-31 00:00:00+08:00,2022-04-01 00:00:00+08:00,73710.0,73400.0,1.0,-1723.555,-0.004205670872337539
2022-04-15 00:00:00+08:00,2022-04-25 00:00:00+08:00,73820.0,73980.0,1.0,626.1,0.002167434299647792
2023-01-19 00:00:00+08:00,2023-01-30 00:00:00+08:00,70910.0,69300.0,1.0,-8220.105,-0.022704837117472853
2023-02-09 00:00:00+08:00,2023-02-14 00:00:00+08:00,68920.0,68380.0,1.0,-2868.65,-0.00783517121300058
2023-03-06 00:00:00+08:00,2023-03-08 00:00:00+08:00,69820.0,68970.0,1.0,-4419.395,-0.0121741621311945
2023-04-10 00:00:00+08:00,2023-04-11 00:00:00+08:00,68810.0,68280.0,1.0,-2818.545,-0.0077023688417381195
2023-07-14 00:00:00+08:00,2023-07-18 00:00:00+08:00,68970.0,68270.0,1.0,-3668.62,-0.010149340292880962
2023-08-30 00:00:00+08:00,2023-09-07 00:00:00+08:00,69100.0,69070.0,1.0,-319.08500000000004,-0.0004341534008683068
2023-09-15 00:00:00+08:00,2023-09-19 00:00:00+08:00,69570.0,68910.0,1.0,-3469.24,-0.009486847779215178
2023-12-27 00:00:00+08:00,2023-12-29 00:00:00+08:00,69230.0,68830.0,1.0,-2169.03,-0.005777841976021956
2024-03-01 00:00:00+08:00,2024-03-11 00:00:00+08:00,68870.0,69350.0,1.0,2230.89,0.0069696529693625674
2024-03-22 00:00:00+08:00,2024-03-25 00:00:00+08:00,72920.0,72180.0,1.0,-3872.55,-0.010148107515085025
2024-04-25 00:00:00+08:00,2024-05-08 00:00:00+08:00,79250.0,79590.0,1.0,1520.58,0.004290220820189274
2024-05-20 00:00:00+08:00,2024-05-22 00:00:00+08:00,84530.0,85660.0,1.0,5464.905,0.013368035017153673
2024-10-17 00:00:00+08:00,2024-10-18 00:00:00+08:00,76920.0,76300.0,1.0,-3276.61,-0.008060322412896516
2024-10-29 00:00:00+08:00,2024-11-01 00:00:00+08:00,76620.0,76100.0,1.0,-2776.36,-0.006786739754633255
