signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
breakout_pullback_continuation,0,regime_classifier,random_forest,9,feature_trend_dir,0.04399927201880573,趋势方向编码
breakout_pullback_continuation,0,regime_classifier,random_forest,10,generic_setup_quality_score,0.016141306021340583,"形态质量分 [0, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,1,generic_context_score,0.11746507143612113,"大环境配合分 [0, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,2,generic_mfi_14,0.05559267673919459,资金流量指数
breakout_pullback_continuation,0,mfe_mae,random_forest,3,generic_setup_quality_score,0.05342529462660413,"形态质量分 [0, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,4,generic_breakout_quality_score,0.05146600887279618,"突破质量分 [0, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,5,generic_trend_score,0.04888458707118915,"综合趋势得分 [-1, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,6,feature_tr_range_atr,0.04710814177189444,tight range / ATR 比值
breakout_pullback_continuation,0,mfe_mae,random_forest,7,generic_regime_conf,0.044674291528838145,首位 - 次位得分差
breakout_pullback_continuation,0,mfe_mae,random_forest,8,generic_bb_width,0.040630798614761994,布林带宽度
breakout_pullback_continuation,0,mfe_mae,random_forest,9,generic_rsi_14,0.03530220864558137,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,mfe_mae,random_forest,10,generic_stoch_d,0.035266186524801305,KDJ-D 值
donchian_breakout,0,trade_filter,hist_gradient_boosting,1,generic_breakout_quality_score,0.07541320520167143,"突破质量分 [0, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,2,generic_macd_dea,0.02236481772596936,MACD 信号线
donchian_breakout,0,trade_filter,hist_gradient_boosting,3,generic_compression_score,0.020601781626630584,"压缩体制分 [0, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,4,feature_tr_range_atr,0.020588502675708553,tight range / ATR 比值
