signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,hist_gradient_boosting,564,0,0.9994813479766087,0.9769503546099291,0.9649122807017544,0.9969788519637462,0.9806835066864784,,,,,,,,
atr_breakout,0,train,regime_classifier,random_forest,564,0,,0.9875886524822695,,,,0.9024708164808786,0.9859098856306893,,,,,,
atr_breakout,0,train,mfe_mae,random_forest,564,0,,,,,,,,1.6328985944425722,1.069476740082088,4.91208255525507,4.184623185269416,0.35976413068461854,0.2495742637017112
atr_breakout,0,valid,trade_filter,hist_gradient_boosting,564,0,0.4848484848484849,0.5094339622641509,0.6,0.6363636363636364,0.6176470588235294,,,,,,,,
atr_breakout,0,valid,regime_classifier,random_forest,564,0,,0.9811320754716981,,,,0.6601307189542484,0.9718830928597854,,,,,,
atr_breakout,0,valid,mfe_mae,random_forest,564,0,,,,,,,,2.0017588718526316,1.0670703538230812,3.036674977351406,1.352908212431876,-1.4810628404567767,-0.07912220347956844
atr_breakout,0,test,trade_filter,hist_gradient_boosting,564,0,0.38037752414398596,0.4148148148148148,0.4485981308411215,0.7058823529411765,0.5485714285714286,,,,,,,,
atr_breakout,0,test,regime_classifier,random_forest,564,0,,0.9703703703703703,,,,0.7680801056054606,0.9607548357785003,,,,,,
atr_breakout,0,test,mfe_mae,random_forest,564,0,,,,,,,,2.1614767791826646,1.8046379144270992,2.9279273478410697,2.7028010545588095,-0.30590557701281607,-0.21366736334236425
breakout_pullback_continuation,0,train,trade_filter,hist_gradient_boosting,298,235,0.9996591683708248,0.9887429643527205,1.0,0.9710144927536232,0.9852941176470589,,,,,,,,
breakout_pullback_continuation,0,train,regime_classifier,random_forest,298,235,,0.9906191369606003,,,,0.6635428621554251,0.9859508342905472,,,,,,
breakout_pullback_continuation,0,train,mfe_mae,random_forest,298,235,,,,,,,,0.9059001620046873,0.3502416202272236,1.3359758419461845,0.502872492116522,0.6907496572083511,0.6458448562195986
breakout_pullback_continuation,0,valid,trade_filter,hist_gradient_boosting,298,235,0.5794912559618441,0.5904761904761905,0.4318181818181818,0.5135135135135135,0.4691358024691358,,,,,,,,
breakout_pullback_continuation,0,valid,regime_classifier,random_forest,298,235,,0.9714285714285714,,,,0.6568847352024921,0.957377837116155,,,,,,
breakout_pullback_continuation,0,valid,mfe_mae,random_forest,298,235,,,,,,,,1.8860220165234658,0.5179662751927623,2.215523289150285,0.6447577672776678,-0.0790845841815857,0.020218700738594553
breakout_pullback_continuation,0,test,trade_filter,hist_gradient_boosting,298,235,0.6147783251231527,0.5625,0.6060606060606061,0.5714285714285714,0.5882352941176471,,,,,,,,
breakout_pullback_continuation,0,test,regime_classifier,random_forest,298,235,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,test,mfe_mae,random_forest,298,235,,,,,,,,1.946725002613086,0.6944922974127573,3.303759054892521,0.8018735305564779,-0.2653660445008852,-0.009031330107603486
donchian_breakout,0,train,trade_filter,hist_gradient_boosting,668,600,0.9876873481219988,0.9219242902208202,0.9887218045112782,0.7325905292479109,0.8416,,,,,,,,
donchian_breakout,0,train,regime_classifier,random_forest,668,600,,0.9944794952681388,,,,0.9116800130092865,0.9937758345539315,,,,,,
donchian_breakout,0,train,mfe_mae,random_forest,668,600,,,,,,,,1.3194395366122622,0.7477401308014658,4.311965197963564,1.1888559205304496,0.362202299125455,0.5986389198514632
donchian_breakout,0,valid,trade_filter,hist_gradient_boosting,668,600,0.5534190602091095,0.7095238095238096,0.375,0.22641509433962265,0.2823529411764706,,,,,,,,
donchian_breakout,0,valid,regime_classifier,random_forest,668,600,,0.9714285714285714,,,,0.7400252525252524,0.9609559884559885,,,,,,
donchian_breakout,0,valid,mfe_mae,random_forest,668,600,,,,,,,,1.706567696927811,0.9482806806396493,2.1042821527501205,1.2873688605339233,-0.4573565781985096,-0.10095444556851474
donchian_breakout,0,test,trade_filter,hist_gradient_boosting,668,600,0.5114857537217785,0.6160714285714286,0.2653061224489796,0.20634920634920634,0.23214285714285715,,,,,,,,
donchian_breakout,0,test,regime_classifier,random_forest,668,600,,0.9910714285714286,,,,0.663265306122449,0.9866526967930029,,,,,,
donchian_breakout,0,test,mfe_mae,random_forest,668,600,,,,,,,,1.93445411262903,1.6200309425806205,2.62031126829558,2.0543955422165094,-0.05948399606222665,-0.09727846300310627
tight_range_breakout,0,train,trade_filter,hist_gradient_boosting,589,1881,0.9874565148206271,0.9295546558704454,1.0,0.4061433447098976,0.5776699029126213,,,,,,,,
tight_range_breakout,0,train,regime_classifier,random_forest,589,1881,,0.9991902834008097,,,,0.9991685984967579,0.9991901006868055,,,,,,
tight_range_breakout,0,train,mfe_mae,random_forest,589,1881,,,,,,,,0.8744121227355592,0.907646015249884,1.2227837993171167,1.4128967505835233,0.663236110611392,0.6293179228597761
tight_range_breakout,0,valid,trade_filter,hist_gradient_boosting,589,1881,0.7062248995983935,0.8236472945891784,0.4375,0.16666666666666666,0.2413793103448276,,,,,,,,
tight_range_breakout,0,valid,regime_classifier,random_forest,589,1881,,0.9879759519038076,,,,0.9867771050774431,0.9878835038870224,,,,,,
tight_range_breakout,0,valid,mfe_mae,random_forest,589,1881,,,,,,,,1.4600366445291364,1.1885607971246026,1.9864490773960735,1.5272555573807338,-0.007087922617728504,0.004359574537196931
tight_range_breakout,0,test,trade_filter,hist_gradient_boosting,589,1881,0.46436781609195404,0.7410714285714286,0.16666666666666666,0.04,0.06451612903225806,,,,,,,,
tight_range_breakout,0,test,regime_classifier,random_forest,589,1881,,0.9910714285714286,,,,0.9917326560087654,0.9910527523425328,,,,,,
tight_range_breakout,0,test,mfe_mae,random_forest,589,1881,,,,,,,,1.814336156300939,1.5457492924226244,2.576423932428847,1.8903496035919776,-0.004405861941420008,-0.20064367819715345
